4GTV,#genre#

4  民視第一台,https://www.4gtv.tv/channel/4gtv-4gtv003?set=1&ch=1    
5  民視台灣台,https://www.4gtv.tv/channel/4gtv-4gtv001?set=1&ch=2    
6  民視,https://www.4gtv.tv/channel/4gtv-4gtv002?set=1&ch=3    
9  大愛電視,https://www.4gtv.tv/channel/4gtv-live007?set=1&ch=209    
10  中視,https://www.4gtv.tv/channel/4gtv-4gtv040?set=1&ch=4    
11  中視經典台,https://www.4gtv.tv/channel/4gtv-4gtv080?set=1&ch=124    
12  華視,https://www.4gtv.tv/channel/4gtv-4gtv041?set=1&ch=6    
13  三立綜合台,https://www.4gtv.tv/channel/4gtv-live207?set=1&ch=169    
14  客家電視台,https://www.4gtv.tv/channel/4gtv-4gtv043?set=1&ch=107    
15  八大綜藝台,https://www.4gtv.tv/channel/4gtv-4gtv039?set=1&ch=114    
16  中視菁采台,https://www.4gtv.tv/channel/4gtv-4gtv064?set=1&ch=123    
17  TVBS精采台,https://www.4gtv.tv/channel/4gtv-4gtv067?set=1&ch=227    
18  愛爾達娛樂台,https://www.4gtv.tv/channel/4gtv-4gtv070?set=1&ch=19    
19  靖天綜合台,https://www.4gtv.tv/channel/4gtv-4gtv046?set=1&ch=21    
20  靖天日本台,https://www.4gtv.tv/channel/4gtv-4gtv047?set=1&ch=22    
21  新唐人亞太台,https://www.4gtv.tv/channel/4gtv-live050?set=1&ch=223    
23  ARIRANG阿里郎頻道,https://www.4gtv.tv/channel/4gtv-4gtv079?set=1&ch=189    
24  Global Trekker,https://www.4gtv.tv/channel/4gtv-live112?set=1&ch=252    
25  原住民族電視台,https://www.4gtv.tv/channel/4gtv-live014?set=1&ch=273    
26  Smart知識台,https://www.4gtv.tv/channel/litv-longturn19?set=1&ch=297    
29  東森購物四台,https://www.4gtv.tv/channel/4gtv-live049?set=1&ch=286    
30  LiveABC互動英語頻道,https://www.4gtv.tv/channel/4gtv-live030?set=1&ch=188    
31  達文西頻道,https://www.4gtv.tv/channel/4gtv-4gtv018?set=1&ch=11    
32  ELTV生活英語台,https://www.4gtv.tv/channel/litv-longturn20?set=1&ch=106    
33  Nick Jr. 兒童頻道,https://www.4gtv.tv/channel/4gtv-live032?set=1&ch=219    
34  尼克兒童頻道,https://www.4gtv.tv/channel/4gtv-live105?set=1&ch=185    
35  DreamWorks 夢工廠動畫,https://www.4gtv.tv/channel/4gtv-live017?set=1&ch=282    
36  靖天卡通台,https://www.4gtv.tv/channel/4gtv-4gtv044?set=1&ch=15    
