綜合,#genre#
TVBS新聞,http://4gtv.mumi.rip:9877/291/4gtv-4gtv072/index.m3u8
新唐人亞太,http://4gtv.mumi.rip:9877/223/4gtv-live050/index.m3u8
東森購物四,http://4gtv.mumi.rip:9877/286/4gtv-live049/index.m3u8
尼克兒童頻道,http://4gtv.mumi.rip:9877/185/4gtv-live105/index.m3u8
東森購物一,http://4gtv.mumi.rip:9877/173/4gtv-live047/index.m3u8
鏡電視新聞,http://4gtv.mumi.rip:9877/268/4gtv-4gtv075/index.m3u8
SBN全球財經,http://4gtv.mumi.rip:9877/224/4gtv-live060/index.m3u8
東森購物二,http://4gtv.mumi.rip:9877/174/4gtv-live046/index.m3u8
豬哥亮歌廳秀,http://4gtv.mumi.rip:9877/113/4gtv-4gtv006/index.m3u8
ROCK Entertainment,http://4gtv.mumi.rip:9877/275/4gtv-live080/index.m3u8
東森購物三,http://4gtv.mumi.rip:9877/287/4gtv-live048/index.m3u8
博斯高球一,http://4gtv.mumi.rip:9877/298/litv-longturn06/index.m3u8
博斯運動一,http://4gtv.mumi.rip:9877/5071/liv-longturn07/index.m3u8
博斯運動二,http://4gtv.mumi.rip:9877/2937/liv-longturn08/index.m3u8
fun探家娛樂,http://4gtv.mumi.rip:9877/2747/4gtv-live011/index.m3u8
FRANCE24 英文,http://4gtv.mumi.rip:9877/3167/4gtv-live146/index.m3u8
CNBC Asia 財經,http://4gtv.mumi.rip:9877/2357/4gtv-live130/index.m3u8
ELTV生活英語,http://4gtv.mumi.rip:9877/1067/liv-longturn20/index.m3u8
KLT-靖天國際,http://4gtv.mumi.rip:9877/847/4gtv-4gtv063/index.m3u8
TRACE Sport Stars,http://4gtv.mumi.rip:9877/577/4gtv-4gtv077/index.m3u8
History 歷史頻道,http://4gtv.mumi.rip:9877/2147/4gtv-live026/index.m3u8
影迷紀實臺 1,http://4gtv.mumi.rip:9877/2707/4gtv-live010/index.m3u8
影迷紀實臺 2,http://4gtv.mumi.rip:9877/2447/4gtv-live006/index.m3u8
中視經典,http://4gtv.mumi.rip:9877/1247/4gtv-4gtv080/index.m3u8
半島亞洲新聞,http://4gtv.mumi.rip:9877/857/itv-ftv10/index.m3u8
靖天卡通,http://4gtv.mumi.rip:9877/157/4gtv-4gtv044/index.m3u8
Lifetime 娛樂頻道,http://4gtv.mumi.rip:9877/2177/4gtv-live029/index.m3u8
寰宇新聞台灣,http://4gtv.mumi.rip:9877/2807/itv-longturn15/index.m3u8
經典卡通,http://4gtv.mumi.rip:9877/2027/4gtv-live022/index.m3u8
民視第一,http://4gtv.mumi.rip:9877/17/4gtv-4gtv003/index.m3u8
民視台灣,http://4gtv.mumi.rip:9877/27/4gtv-4gtv001/index.m3u8
客家電視,http://4gtv.mumi.rip:9877/1077/4gtv-4gtv043/index.m3u8
八大綜藝,http://4gtv.mumi.rip:9877/1147/4gtv-4gtv039/index.m3u8
中視菁採,http://4gtv.mumi.rip:9877/1237/4gtv-4gtv064/index.m3u8
原住民族電視,http://4gtv.mumi.rip:9877/2737/4gtv-live014/index.m3u8
Nick Jr 兒童頻道,http://4gtv.mumi.rip:9877/2197/4gtv-live032/index.m3u8
龍華卡通,http://4gtv.mumi.rip:9877/2957/itv-longturn01/index.m3u8
民視新聞,http://4gtv.mumi.rip:9877/317/itv-ftv13/index.m3u8
東森財經新聞,http://4gtv.mumi.rip:9877/2937/4gtv-4gtv153/index.m3u8
寰宇新聞,http://4gtv.mumi.rip:9877/367/itv-longturn14/index.m3u8
寰宇財經,http://4gtv.mumi.rip:9877/2817/itv-longturn23/index.m3u8
民視綜藝,http://4gtv.mumi.rip:9877/167/4gtv-4gtv004/index.m3u8
靖天資訊,http://4gtv.mumi.rip:9877/887/4gtv-4gtv065/index.m3u8
電影原聲臺CMusic,http://4gtv.mumi.rip:9877/2187/4gtv-live031/index.m3u8
博斯高球檯,http://4gtv.mumi.rip:9877/487/itv-longturn05/index.m3u8
博斯無限,http://4gtv.mumi.rip:9877/517/itv-longturn10/index.m3u8
博斯網球檯,http://4gtv.mumi.rip:9877/527/itv-longturn09/index.m3u8
博斯魅力,http://4gtv.mumi.rip:9877/3007/itv-longturn04/index.m3u8
智林體育,http://4gtv.mumi.rip:9877/587/4gtv-4gtv101/index.m3u8
GINX Esports TV,http://4gtv.mumi.rip:9877/1797/4gtv-4gtv053/index.m3u8
民視旅遊,http://4gtv.mumi.rip:9877/817/itv-ftv07/index.m3u8
滾動力rollor,http://4gtv.mumi.rip:9877/2497/4gtv-live012/index.m3u8
亞洲旅遊,http://4gtv.mumi.rip:9877/2507/itv-longturn17/index.m3u8
幸福空間居家,http://4gtv.mumi.rip:9877/1687/4gtv-live206/index.m3u8
LUXE TV Channel,http://4gtv.muni.rip:9877/175/4gtv-live12/index.m3u8
龍華偶像,http://4gtv.muni.rip:9877/296/litv-longturn12/index.m3u8
民視影劇,http://4gtv.muni.rip:9877/24/litv-ftv09/index.m3u8
龍華影劇,http://4gtv.muni.rip:9877/23/litv-longturn18/index.m3u8
龍華日韓,http://4gtv.muni.rip:9877/28/litv-longturn11/index.m3u8
八大精彩,http://4gtv.muni.rip:9877/172/4gtv-4gtv034/index.m3u8
霹靂布袋戲,http://4gtv.muni.rip:9877/301/4gtv-live145/index.m3u8
